Team,Pressing Intensity,Pressing Resistance,Possession,Field tilt %,Tempo,Directness,Defensive height,Crossing,Air duels,Set Pieces,Dribbling,Width,Shot_Distance,Aggression,Box_Focus,Main_Style,Tactical_Profile
torino,53.61216730038023,48.71910112359551,69.54612005856515,65.50845043485744,93.99818493909139,77.99813127298236,85.72344322344323,67.71653543307086,73.0284956925116,54.166666666666664,60.080480953071195,71.12872069340298,18.6,99.42570060741386,80.10752688172043,Kick and Rush,Aggressive & Aerial
tottenham,67.46411483253588,44.943820224719104,80.0878477306003,72.1200439907575,93.8987656335331,76.26433434907483,88.74411065485195,65.35433070866141,56.92511597084162,69.79166666666667,91.87220096120426,67.52300717940736,16.0,78.95980043196344,93.125,Possession,Dribblers & Control
toulouse,50.90252707581227,39.460674157303366,65.88579795021963,69.971269279324,91.39952630996139,83.02089366581826,87.39999999999999,57.202408522464104,57.58780649436713,83.33333333333333,91.08147623899038,69.91963043190071,15.4,84.07581360298627,96.75324675324676,Park the Bus,Dribblers & Set-Piece
udinese,64.97695852534562,45.348314606741575,69.1068814055637,64.8268936187659,91.49884016908456,77.79627304675684,81.80376207422471,81.10236220472441,69.11862160371106,69.79166666666667,84.21794845592595,74.75435921077666,17.7,97.63581239507258,84.18079096045197,Wing-Play,Aggressive & Cross-Heavy
union berlin,39.85302430751837,41.48314606741573,58.565153733528554,64.79358577402594,87.90304059343619,94.5881196190707,79.08353285448257,66.00277906438166,88.27037773359841,100.0,64.78924119286916,79.50949798634896,16.6,83.59844157749667,89.7590361445783,Kick and Rush,Set-Piece & Aerial
valencia,51.91458026509573,46.96629213483146,70.86383601756955,68.54195097375641,92.5923738975612,79.27207327872365,79.26849194082578,71.65354330708662,65.54009277667329,68.75,78.59853804190912,77.22350273366655,17.2,80.38935635110379,86.6279069767442,Park the Bus,Wing Play & Cross-Heavy
villarreal,46.81274900398406,46.38202247191011,69.69253294289898,67.66706177827102,92.20938659544133,82.7813105125815,80.24939467312349,80.31496062992126,59.04572564612326,85.41666666666667,78.00849165082577,67.76802516374134,16.0,81.50262003235085,93.125,Park the Bus,Cross-Heavy & Set-Piece
werder bremen,48.18865345181134,51.82022471910113,73.20644216691069,63.34581701433886,93.40146802691532,82.5204648024469,84.94555353901998,80.08337193144975,62.49171636845593,66.66666666666667,61.055347276504286,68.11506652283353,16.0,70.56757795967368,93.125,Park the Bus,Cross-Heavy & Patient
west ham,49.02642559109874,43.2808988764045,70.86383601756955,61.59799214511476,91.77584350197344,79.18269929015354,82.67540410659677,56.69291338582677,76.01060304837641,71.875,95.32058151694217,59.82894052994916,16.3,78.48360274342295,91.41104294478527,Park the Bus,Dribblers & Aerial
wolfsburg,50.829127613554434,55.7752808988764,67.49633967789165,67.47305276456102,90.2598679983568,84.5675460950197,79.27873145184755,46.64196387216304,71.63684559310802,83.33333333333333,73.95284445435024,68.1827775432672,17.3,76.79662760442929,86.1271676300578,Park the Bus,Set-Piece & Aerial
wolves,61.038961038961034,44.89887640449438,70.42459736456809,63.09997366939169,91.61551086051458,76.89721373903177,78.82842874977707,56.69291338582677,61.36514247846256,59.375,90.06384184926952,56.921737279946505,18.1,76.90640655278268,82.32044198895028,Park the Bus,Dribblers & High Tempo
